id;pregunta;respuesta;categoria;universidad
1;¿Cuándo inicia el proceso de admisión?;El proceso de admisión inicia según el cronograma publicado por la oficina de admisión.;Admisión;Universidad Demo del Pacífico
2;¿Dónde puedo inscribirme al examen de admisión?;La inscripción se realiza en la plataforma de admisión de la universidad.;Admisión;Universidad Demo del Pacífico
3;¿Qué documentos necesito para postular?;Necesitas documento de identidad, fotografía actual y constancia o certificado de estudios.;Admisión;Universidad Demo del Pacífico
4;¿Cuánto cuesta la inscripción al examen?;El costo de inscripción depende de la modalidad de admisión vigente.;Admisión;Universidad Demo del Pacífico
5;¿Hay modalidad para primeros puestos?;Sí, la universidad puede ofrecer modalidad especial para primeros puestos según reglamento.;Admisión;Universidad Demo del Pacífico
6;¿Puedo cambiar mi modalidad de admisión?;El cambio de modalidad debe solicitarse antes del cierre de inscripciones.;Admisión;Universidad Demo del Pacífico
7;¿Dónde veo los resultados del examen?;Los resultados se publican en la plataforma oficial de admisión.;Admisión;Universidad Demo del Pacífico
8;¿Qué pasa si no alcanzo vacante?;Puedes postular en el siguiente proceso de admisión o revisar otras modalidades disponibles.;Admisión;Universidad Demo del Pacífico
9;¿El examen es presencial o virtual?;La modalidad del examen se comunica en el cronograma oficial.;Admisión;Universidad Demo del Pacífico
10;¿Cómo recupero mi código de postulante?;Debes ingresar a la plataforma de admisión o comunicarte con la oficina correspondiente.;Admisión;Universidad Demo del Pacífico
11;¿Cuándo empieza la matrícula?;La matrícula inicia según el calendario académico vigente.;Matrícula;Universidad Demo del Pacífico
12;¿Dónde me matriculo?;Debes ingresar al portal del estudiante y seleccionar la opción de matrícula.;Matrícula;Universidad Demo del Pacífico
13;¿Puedo modificar mi matrícula?;Sí, puedes modificarla durante el periodo de rectificación establecido.;Matrícula;Universidad Demo del Pacífico
14;¿Qué pasa si no me matriculo a tiempo?;Podrías acceder a matrícula extemporánea si el calendario académico lo permite.;Matrícula;Universidad Demo del Pacífico
15;¿Cuántos créditos puedo llevar?;El número máximo de créditos depende del reglamento académico y tu rendimiento.;Matrícula;Universidad Demo del Pacífico
16;¿Puedo llevar menos créditos?;Sí, siempre que cumplas con la carga mínima establecida por la universidad.;Matrícula;Universidad Demo del Pacífico
17;¿Qué significa curso cerrado?;Significa que el curso ya completó el número máximo de vacantes.;Matrícula;Universidad Demo del Pacífico
18;¿Dónde veo los cursos disponibles?;La oferta académica se visualiza en el portal del estudiante.;Matrícula;Universidad Demo del Pacífico
19;¿Puedo matricularme con deuda?;La matrícula puede estar restringida si existen pagos pendientes.;Matrícula;Universidad Demo del Pacífico
